Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
50,464,species,Northern Shoveler,Spatula clypeata,2,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
51,319,species,Canada Goose,Branta canadensis,4,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
52,252,species,Snow Goose,Anser caerulescens,80,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
53,33101,species,Red-winged Blackbird,Agelaius phoeniceus,50,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,05 Jan 2023,L22086106,S125499394,,1
54,32893,species,Western Meadowlark,Sturnella neglecta,1,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,05 Jan 2023,L22086106,S125499394,,1
55,30886,species,House Sparrow,Passer domesticus,6,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,05 Jan 2023,L22086106,S125499394,N,1
56,16574,species,Black Phoebe,Sayornis nigricans,1,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,05 Jan 2023,L22086106,S125499394,,1
57,8845,species,Burrowing Owl,Athene cunicularia,1,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,05 Jan 2023,L22086106,S125499394,,1
58,7480,species,White-faced Ibis,Plegadis chihi,2,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,05 Jan 2023,L22086106,S125499394,,1
59,32512,species,White-crowned Sparrow,Zonotrichia leucophrys,4,"Baja California 4, Baja California, MX (32.255, -115.267)",MX-BCN,05 Jan 2023,L22086116,S125499434,,1
60,8233,species,Red-tailed Hawk,Buteo jamaicensis,1,"Baja California 4, Baja California, MX (32.255, -115.267)",MX-BCN,05 Jan 2023,L22086116,S125499434,,1
61,7370,species,Cattle Egret,Bubulcus ibis,7,"Baja California 4, Baja California, MX (32.255, -115.267)",MX-BCN,05 Jan 2023,L22086116,S125499434,,1
62,5696,species,Black-necked Stilt,Himantopus mexicanus,3,Campo Mosqueda--Camino Entrada,MX-BCN,05 Jan 2023,L1049120,S125499967,,1
63,724,species,Ruddy Duck,Oxyura jamaicensis,4,Campo Mosqueda--Camino Entrada,MX-BCN,05 Jan 2023,L1049120,S125499967,,1
64,700,species,Hooded Merganser,Lophodytes cucullatus,7,Campo Mosqueda--Camino Entrada,MX-BCN,05 Jan 2023,L1049120,S125499967,,1
65,33188,species,Great-tailed Grackle,Quiscalus mexicanus,4,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
66,32668,species,Abert's Towhee,Melozone aberti,2,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
67,27969,species,American Robin,Turdus migratorius,100,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
68,27232,species,European Starling,Sturnus vulgaris,20,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,N,1
69,26556,species,Black-tailed Gnatcatcher,Polioptila melanura,2,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
70,26270,species,Ruby-crowned Kinglet,Corthylio calendula,2,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
71,11697,species,American Kestrel,Falco sparverius,2,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
72,10865,species,Gila Woodpecker,Melanerpes uropygialis,1,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
73,7223,species,American White Pelican,Pelecanus erythrorhynchos,14,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
74,7195,species,Neotropic Cormorant,Nannopterum brasilianum,500,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
75,5418,species,American Coot,Fulica americana,7,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
76,5386,species,Common Gallinule,Gallinula galeata,4,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,,1
77,2033,species,Eurasian Collared-Dove,Streptopelia decaocto,2,Campo Mosqueda,MX-BCN,05 Jan 2023,L663802,S125500478,N,1
78,6654,species,Royal Tern,Thalasseus maximus,10,Laguna Percebu,MX-BCN,04 Jan 2023,L1364818,S125500002,,1
79,6437,species,California Gull,Larus californicus,5,Laguna Percebu,MX-BCN,04 Jan 2023,L1364818,S125500002,,1
80,5737,species,Black-bellied Plover,Pluvialis squatarola,1,Laguna Percebu,MX-BCN,04 Jan 2023,L1364818,S125500002,,1
81,5725,species,American Oystercatcher,Haematopus palliatus,4,Laguna Percebu,MX-BCN,04 Jan 2023,L1364818,S125500002,,1
82,33469,species,Yellow-rumped Warbler,Setophaga coronata,1,"Baja California, MX (30.476, -114.668)",MX-BCN,04 Jan 2023,L22086236,S125500059,,1
83,33348,species,Common Yellowthroat,Geothlypis trichas,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
84,9939,species,Belted Kingfisher,Megaceryle alcyon,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
85,7444,species,Yellow-crowned Night-Heron,Nyctanassa violacea,20,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
86,7430,species,Black-crowned Night-Heron,Nycticorax nycticorax,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
87,7358,species,Tricolored Heron,Egretta tricolor,5,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
88,7356,species,Little Blue Heron,Egretta caerulea,4,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125500477,,1
