Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
94,6035,species,Least Sandpiper,Calidris minutilla,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S131333487,,1
95,256,species,Ross's Goose,Anser rossii,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S131333487,,1
96,6086,species,Wilson's Snipe,Gallinago delicata,2,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125500131,,1
97,689,species,Bufflehead,Bucephala albeola,15,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125500131,,1
98,468,species,Gadwall,Mareca strepera,29,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125500131,,1
99,8845,species,Burrowing Owl,Athene cunicularia,1,"Baja California 4, Baja California, MX (32.238, -115.231)",MX-BCN,05 Jan 2023,L22086106,S125500130,,1
100,7370,species,Cattle Egret,Bubulcus ibis,7,"Baja California 4, Baja California, MX (32.255, -115.267)",MX-BCN,05 Jan 2023,L22086116,S125500129,,1
101,700,species,Hooded Merganser,Lophodytes cucullatus,7,Campo Mosqueda--Camino Entrada,MX-BCN,05 Jan 2023,L1049120,S125500128,,1
102,6437,species,California Gull,Larus californicus,5,Laguna Percebu,MX-BCN,04 Jan 2023,L1364818,S125500127,,1
103,5737,species,Black-bellied Plover,Pluvialis squatarola,1,Laguna Percebu,MX-BCN,04 Jan 2023,L1364818,S125500127,,1
104,6368,species,Bonaparte's Gull,Chroicocephalus philadelphia,1,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125499131,,1
105,6054,species,Long-billed Dowitcher,Limnodromus scolopaceus,7,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125499131,,1
106,291,species,Brant,Branta bernicla,100,Estero Guerrero Negro (Baja California),MX-BCN,03 Jan 2023,L1071004,S125499131,,1
107,617,species,Redhead,Aythya americana,70,Playa de Requeson,MX-BCS,02 Jan 2023,L1100000,S125260293,,1
108,1807,species,Least Grebe,Tachybaptus dominicus,1,Reserva Ecológica Estero de San José del Cabo,MX-BCS,31 Dec 2022,L277480,S125014032,,1
109,451,species,Cinnamon Teal,Spatula cyanoptera,3,Reserva Ecológica Estero de San José del Cabo,MX-BCS,31 Dec 2022,L277480,S125014032,,1
110,32674,species,California Towhee,Melozone crissalis,2,"Baja California Sur, MX (23.561, -109.871)",MX-BCS,29 Dec 2022,L21961646,S125014043,,1
111,11586,species,Gilded Flicker,Colaptes chrysoides,1,"Baja California Sur, MX (23.561, -109.871)",MX-BCS,29 Dec 2022,L21961646,S125014043,,1
112,6396,species,Laughing Gull,Leucophaeus atricilla,1,"Baja California Sur Ciudad Insurgentes - Puerto Adolfo López Mateos, Adolfo López Mateos, Baja California Sur, MX (25.194, -112.124)",MX-BCS,27 Dec 2022,L21935264,S124774233,,1
113,6126,species,Greater Yellowlegs,Tringa melanoleuca,14,"Vía sin nombre, Baja California Sur, MX (25.546, -111.145)",MX-BCS,27 Dec 2022,L21935298,S124774232,,1
114,26560,species,California Gnatcatcher,Polioptila californica,4,"Baja California Sur, MX (25.524, -111.078)",MX-BCS,26 Dec 2022,L21925026,S124673870,,1
115,16542,species,Gray Flycatcher,Empidonax wrightii,1,Playa Santispac,MX-BCS,25 Dec 2022,L473111,S124673872,,1
116,33340,species,Belding's Yellowthroat,Geothlypis beldingi,2,Mulege (pueblo),MX-BCS,24 Dec 2022,L354265,S124673227,,1
117,7384,species,Green Heron,Butorides virescens,2,Mulege (pueblo),MX-BCS,24 Dec 2022,L354265,S124673227,,1
118,4850,species,Xantus's Hummingbird,Basilinna xantusii,1,Mulege (pueblo),MX-BCS,24 Dec 2022,L354265,S124673227,,1
119,267,species,Greater White-fronted Goose,Anser albifrons,25,Oasis San Ignacio,MX-BCS,23 Dec 2022,L354664,S124673330,,1
120,5835,species,Wilson's Plover,Charadrius wilsonia,2,Campo Archelon,MX-BCN,22 Dec 2022,L2287646,S124431477,,1
121,5830,species,Snowy Plover,Charadrius nivosus,2,Campo Archelon,MX-BCN,22 Dec 2022,L2287646,S124431477,,1
122,716,species,Red-breasted Merganser,Mergus serrator,33,Campo Archelon,MX-BCN,22 Dec 2022,L2287646,S124431477,,1
123,27465,species,Gray Thrasher,Toxostoma cinereum,,Campo Archelon,MX-BCN,21 Dec 2022,L2287646,S124431510,,1
124,477,species,American Wigeon,Mareca americana,,Río Colorado--Carretera 4,MX-BCN,20 Dec 2022,L2065614,S124431989,,1
125,6440,species,Herring Gull,Larus argentatus,,El Golfo de Santa Clara (pueblo),MX-SON,20 Dec 2022,L459791,S124673874,,1
126,32236,species,Rufous-winged Sparrow,Peucaea carpalis,5,Home,US-AZ,08 Oct 2022,L12260655,S120282737,,1
127,26546,species,Blue-gray Gnatcatcher,Polioptila caerulea,5,Home,US-AZ,08 Oct 2022,L12260655,S120282737,,1
